## Start time = Sun Sep 30 11:17:17 2018 
# EXPERIMENT NUMBER 4 
## optimizer : adam 
## number of hidden layers : 5 
## number of hidden units : 100 
## learning rate : 0.000100 
## batch size : 1 
## approx number of steps: 24475000 
## approx number of steps per epoch: 4895 
1	2.73875241	0.22083333
2	2.43418488	0.25000000
3	2.19040265	0.34166667
4	1.92131350	0.42083333
5	1.65077554	0.41250000
6	1.43825906	0.47916667
7	1.29631107	0.62500000
8	1.06830880	0.66250000
9	0.82500106	0.67916667
10	0.73878788	0.80000000
11	0.59598635	0.79583333
12	0.50549144	0.80416667
13	0.38811776	0.84166667
14	0.35275465	0.84166667
15	0.29706714	0.80833333
16	0.24917364	0.88333333
17	0.21242663	0.85000000
18	0.17962939	0.84166667
19	0.16872783	0.88750000
20	0.15564284	0.89166667
21	0.15454562	0.81666667
