## Start time = Sat Oct  6 13:58:10 2018 
# EXPERIMENT NUMBER 17 
## optimizer : adam 
## number of hidden layers : 3 
## number of hidden units : 150 
## learning rate : 0.000100 
## batch size : 10 
## approx number of steps: 2447500 
## approx number of steps per epoch: 489 
1	2.82234231	0.14583333
2	2.35781699	0.16250000
3	2.03504819	0.23333333
4	1.79378054	0.31666667
5	1.60298749	0.39583333
6	1.42267615	0.38750000
7	1.24961694	0.55000000
8	1.08421372	0.58750000
9	0.99877942	0.60416667
10	0.91021492	0.63750000
11	0.77239775	0.65416667
12	0.74034174	0.65833333
13	0.62988782	0.69166667
14	0.56582322	0.62083333
15	0.48944091	0.80416667
16	0.45823701	0.77916667
17	0.35938155	0.77500000
18	0.29809050	0.81666667
19	0.28248886	0.77916667
20	0.24670028	0.79583333
21	0.22342644	0.73750000
22	0.17119429	0.70833333
## End time = Sat Oct  6 20:59:10 2018 
